SiteName,Region,Period,TombID,BronzePeriod,NoInterRegionalPotImports,InterRegionalPotImportDesc,NoInternPotImports,InternPotImportsDesc,NoLocalPots,LocalPotsDesc,NoRitualItems,RitualItemDesc,NoFeastingSpecial,FeastingSpecialDesc,NoCuLocalArtifacts,CuLocalArtifactsDesc,NoBrzArtifacts,BrzArtifactsDesc,NoOtherMetalImports,OtherMetalImportsDesc,NoAnimalBone,AnimalBoneDesc,NoOtherInterRegionalImport,OtherInterRegionalImportDesc,NoOtherInternationalImport,OtherInternationalImportDesc,NoOtherLocalGoods,OtherLocalGoodsDesc,NoIntraRegionalPotImport,IntraRegionalImportPotDesc,NoIntraRegionalImport,IntraRegionalImportDesc,NoLocalPicrolite,PicroliteDesc,NoPicroliteImport,NoTombdecor,MetalMakingSupIconDesc,TotalPots,TotalIntraRegionalGoods,TotalInterRegionalGoods,TotalInternationalGoods,TotalIdeology,TotalMinerals,TotalMetals,TotalLocal,TotalArtifacts,TotalImports,TotalFeasting,TotalLocalImport
Bellapais Vounous A,North,PreBA 1,91,ECI,0,,0,,15,"RP BT horn lug bowl 3
RP basin 1
RP BT incised flask 2
RP jug 4
RP BT bowl 1
RP amphora 1
RP spouted bowl 1
RP BT ""cult vessel"" with circular projections and animal heads 1
RP ""mug"" cup 1",1,"RP BT ""cult vessel"" with circular projections and animal heads 1",1,"RP ""mug"" cup 1",1,Copper based pin (untested) 1,1,Tin bronze pin (tested) 1,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,15,0,0,1,1,2,2,16,17,1,16,0
Bellapais Vounous A,North,PreBA 1,92,ECI,0,,0,,12,"RP BT tulip bowl 1
BP incised juglet 1
RP dish 1
RP BT ear lug pot 1
RP BT horn lug bowl 2
RP bowl 3
BP incised flask 1
RP jug (sherds) 1
RP BT horn lug bowl (sherds) 1",0,,1,RPBT tulip bowl 1,0,,0,,0,,0,,0,,0,,2,"RP spindle 1
BP spindle whorl 1",0,,0,,0,,0,0,,12,0,0,0,0,0,0,14,14,0,13,0
Bellapais Vounous A,North,PreBA 1,93,ECI,0,,0,,10,"RP BT flask 3
RP ear lug pot 2
RP BT spouted bowl 1
RP BT horn lug bowl 1
RP jug 2
RP pot 1",0,,0,,0,,0,,0,,0,,0,,0,,1,BP spindle whorl 1,0,,0,,0,,0,0,,10,0,0,0,0,0,0,11,11,0,10,0
Bellapais Vounous A,North,PreBA 1,96,ECI,0,,0,,5,"RP BT tulip bowl 2
RP BT horn lug bowl 1
RP juglet 1
RP BT cult vessel with animal heads 1",1,RP BT cult vessel with animal heads 1,2,RP BT tulip bowl 2,1,Unalloyed copper axe (tested) 1,0,,0,,1,Animal bones (ox),0,,0,,0,,1,Reserved slip (Red Slip) horn lug bowl 1,0,,0,,0,0,,6,1,0,0,1,1,1,6,7,1,9,1
Bellapais Vounous A,North,PreBA 1,97,ECI,0,,0,,2,"RP BT ear lug pot 1
RP BT tulip bowl 1",0,,1,RP BT tulip bowl 1,0,,0,,0,,0,,0,,0,,2,"RP spindle whorl 1
BP spindle whorl 1",0,,0,,0,,0,0,,2,0,0,0,0,0,0,4,4,0,3,0
Bellapais Vounous A,North,PreBA 1,99,ECI,0,Tomb is reused later,0,,4,"RP juglet 1
RP BT horn lug bowl 1
RP tulip bowl 1
RP BT flask 1",0,,1,RP tulip bowl 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,4,0,0,0,0,0,0,4,4,0,5,0
Bellapais Vounous A,North,PreBA 1,100,ECI,0,,0,,8,"RP BT tulip bowl 1
RP BT horn lug bowl 4
RP jug 2
RP ""milk bowl"" spouted bowl 1",0,,1,RP BT tulip bowl 1,0,,1,Tin bronze knife blade (tested) 1,0,,0,,0,,0,,1,Pierced whetstone 1,0,,0,,0,,0,0,,8,0,0,1,0,1,1,9,10,1,9,0
Bellapais Vounous A,North,PreBA 1,101,ECI,0,,0,,14,"RP BT horn lug bowl 5
RP jug 3
RP BT tulip bowl 1
RP BT flask 1
RP amphora 1
RP BT bowl 1
RP spouted bowl 1
RP amphora 1",0,,1,RP BT tulip bowl 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,14,0,0,0,0,0,0,14,14,0,15,0
Bellapais Vounous A,North,PreBA 1,102,ECI,0,,0,,15,"RP BT tulip bowl 1
RP horn lug bowl 1
RP BT horn lug bowl 3
RP ear lug pot 2
RP jug 4
RP bowl 1
RP BT pot 1
RP BT flask 1
RP BT spouted pot 1",0,,1,RP BT tulip bowl 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,15,0,0,0,0,0,0,15,15,0,16,0
Bellapais Vounous A,North,PreBA 1,103,ECI,0,,0,,13,"RP BT horn lug bowl 4
RP jug 3
RP BT bowl 1
RP basin 1
RP spouted bowl 1
RP amphora 1
RP flask 1
RP BT flask 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,13,0,0,0,0,0,0,13,13,0,13,0
Bellapais Vounous A,North,PreBA 1,104,ECI,0,,0,,13,"RP jug 5
RP amphora 1
RP BT horn lug bowl 4
RP spouted bowl 1
RP BT flask 1
RP BT spouted bowl 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,13,0,0,0,0,0,0,13,13,0,13,0
Bellapais Vounous A,North,PreBA 1,105,ECI,0,,0,,29,"RP bowl 1
RP BT bowl 2
RP BT horn lug bowl 6
RP ear lug pot 1
RP BT tulip bowl 5
RP jug 2
RP amphora 2
RP pithos 1
RP spouted bowl 2
RP jug or amphora 3
RP pot 2
RP BT cult vessel with animal heads and projections 1
RP BT flask 1",1,RP BT cult vessel with animal heads and projections 1,5,RP BT tulip bowl 5,10,"Copper based knife 4
Unalloyed copper knife (tested) 1
Copper alloyed with zinc? Chisel (tested) 1
Copper based axe 1
Copper alloyed with zinc? Axe (tested) 1
Copper based fragment of metal 1
Unalloyed copper awl (tested) 1",0,,0,,1,Oxen bones,0,,0,,2,Pierced whetstone 2,0,,0,,0,,0,0,,29,0,0,0,1,10,10,41,41,0,35,0
Bellapais Vounous A,North,PreBA 1,106,ECI,0,,0,,14,"Dromos:
RP jug 1
RP stump based pots 2
Misc sherds 
Chamber:
RP BT ear lug pot 3
RP BT ear lug flask 1
BP tulip bowl 1
RP BT tulip bowl 1
RP BT flask 1
RP BT horn lug bowl 4",0,,2,"BP tulip bowl 1
RP BT tulip bowl 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,14,0,0,0,0,0,0,14,14,0,16,0
Bellapais Vounous A,North,PreBA 1,107,ECI,0,,0,,11,"Dromos:
RP ear lug pot 1
Chamber:
RP jug 4
RP BT horn lug bowl 3
RP BT tulip bowl 2
RP amphora 1",0,,2,RP BT tulip bowl 2,1,Arsenical copper with zinc knife (tested) 1,0,,0,,1,Ox bones,0,,0,,0,,0,,0,,0,,0,0,,11,0,0,0,0,1,1,12,12,0,14,0
Bellapais Vounous A,North,PreBA 1,109,ECI,0,,0,,12,"RP BT horn lug bowl 1
RP BT tulip bowl 3
RP jug 4
RP BT ear lug bowl 1
RP BT flask 1
RP basin 1
RP BT spouted pot 1",0,,3,RP BT tulip bowl 3,1,Copper based knife 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,12,0,0,0,0,1,1,13,13,0,15,0
Bellapais Vounous A,North,PreBA 1,111,ECIC,1,RP likely RPm  I-II bowl 1,0,,56,"Dromos: 
RP jug 1
RP amphora 1
Chamber: 
RP ""cult chalice"" wide bowl on stem with animal heads and cups on rim 1
RP ""cult"" spouted vessel with horns and uprights 1
RP ""cult"" vessel with animal heads and projections 1
RP jug 16
RP juglet 1
RP flask 1
RP BT horn lug bowl 5
RP dipper 1
RP BT tulip bowl 12
RP spouted dish 2
RP spouted bowl 2
RP BT bowl 1
RP pithos 1
RP amphora 3
RP dish 2
RP basin 2
RP BT vessel (sherds) 1
RP handle (sherd) 1",3,"RP ""cult chalice"" wide bowl on stem with animal heads and cups on rim 1
RP ""cult"" spouted vessel with horns and uprights 1
RP ""cult"" vessel with animal heads and projections 1",13,"RP ""cult chalice"" wide bowl on stem with animal heads and cups on rim 1
RP BT tulip bowl 12",3,"Copper based knife (dagger) 1
Arsenical copper knife (dagger/scraper)(tested) 1
Arsenical copper knife (dagger) (tested) 1",0,,0,,1,Ox bones,0,,0,,0,,0,,0,,0,,0,0,,57,0,1,0,3,3,3,59,60,1,71,1
Bellapais Vounous A,North,PreBA 1,112,ECI,0,,0,,4,"RP BT horn lug bowl 2
RP BT tulip bowl 1
BP flask 1",0,,1,RP BT tulip bowl 1,2,"Copper based knife 1
Unalloyed copper dagger/hook tang weapon (tested) 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,4,0,0,0,0,2,2,6,6,0,5,0
Bellapais Vounous A,North,PreBA 1,113,ECI,0,,0,,28,"RP bowl 1
RP jug 6
RP BT ear lug pot 2
RP BT horn lug bowl 2
RP horn lug bowl 2
RP BT flask 8
RP flask 2
RP amphora 1
BP flask 1
RP spouted bowl 1
RP lid 2",0,,0,,0,,0,,0,,1,Sheep and goat bones,0,,0,,0,,0,,0,,0,,0,0,,28,0,0,0,0,0,0,28,28,0,29,0
Bellapais Vounous A,North,PreBA 1,114,ECI,0,,0,,13,"RP BT bowl 1
RP BT tulip bowl 1
RP dish 1
RP amphora 1
RP BT horn lug bowl 3
RP ear lug bowl 1
RP BT bowl 1
RP askos 1 (sherd)
RP ear lug pot 1 (sherd)
RP BT horn lug bowl (sherd) 1
RP ""cult vessel"" (sherds) 1",2,"RP dagger and sheath model 1
RP ""cult vessel"" (sherds) 1",1,RP BT tulip bowl 1,0,,0,,0,,1,Uncertain type animal bones,0,,0,,1,RP dagger and sheath model 1,0,,0,,0,,0,3,,13,0,0,0,2,0,0,14,14,0,15,0
Bellapais Vounous A,North,PreBA 1,115,ECI,0,,0,,5,"BP flask 1
RP BT bowl 2
RP BT tulip bowl 1
RP BT horn lug bowl 1",0,,1,RP BT tulip bowl 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,5,0,0,0,0,0,0,5,5,0,6,0
Bellapais Vounous A,North,PreBA 1,116,ECI,1,DPBC bowl ? 1 (#17),0,,26,"RP BT flask 3
RP jug 6
RP BT ear lug pot 2
RP ear lug pot 1
RP horn lug bowl 1
RP BT horn lug bowl 2
RP amphora 3
RP spouted bowl 2
RS horn lug bowl 1
RP BT tulip bowl 2
RP BT pot 1
RP BT ""cult vessel"" with animal heads and projections 1
RP juglet 1",1,"RP BT ""cult vessel"" with animal heads and projections 1",2,RP BT tulip bowl 2,0,,0,,0,,1,Animal bones including sheep,0,,0,,6,"RP spindle whorl 3
BP spindle whorl 3",0,,0,,0,,0,3,,27,0,1,0,1,0,0,32,33,1,30,1
Bellapais Vounous A,North,PreBA 1,117,ECI,0,,0,,6,"RP juglet 1
RP BT bowl 1
RP spouted bowl 2
RP amphora 1
RP jug 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,4,,6,0,0,0,0,0,0,6,6,0,6,0
Bellapais Vounous A,North,PreBA 1,118,ECI-ECII,2,"DPSC juglet 1?
DPBC pot 1?",0,,41,"RP amphora 7
RP jug 10
RP dipper 1
RP spouted dish 1
RP spouted bowl 3
RP horn lug bowl 1
RP BT horn lug bowl 8
BP ear lug flask 1
RP basin 3
RP juglet 1
RP bowl 4
RS cup(?) 1",0,,0,,3,"Unalloyed copper knife/scraper (tested) 1
Copper with lead knife (tested) 1
Arsenical copper with zinc dagger/hook tang weapon (tested) 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,,43,0,2,0,0,3,3,44,46,2,43,2
Bellapais Vounous A,North,PreBA 1,119,ECI,0,,0,,16,"RP jug 2
RP BT ""cult vessel"" with animal heads and projections 1
RP  bowl 1
RP BT flask 3
RP BT tulip bowl 1
RP spouted bowl 1
RP BT horn lug bowl 2
RP horn lug bowl 1
RP amphora 2
Lost spouted bowl 1
RP bowl 1?",1,"RP BT ""cult vessel"" with animal heads and projections 1",1,RP BT tulip bowl 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,RP bellows- mouth 1,16,0,0,0,1,1,1,16,16,0,17,0
Bellapais Vounous A,North,PreBA 1,120,ECI,0,,0,,25,"RP jug 7
RP juglet 1
RP BT horn lug bowl 1
RP horn lug bowl 1
RP basin 2
RP BT tulip bowl 2
RP BT flask 2
RP spouted bowl 1
RP spouted pot 1
RP amphora 3
RP BT bowl 2
RP BT ear lug pot 1
RP bowl 1",0,,2,RP BT tulip bowl 2,0,,0,,0,,0,,0,,0,,1,BP spindle whorl 1,0,,0,,0,,0,0,,25,0,0,0,0,0,0,26,26,0,27,0
Bellapais Vounous A,North,PreBA 1,127,ECI,0,,0,,16,"RP bowl 1
RP BT tulip bowl 3
RP BT horn lug bowl 4
RP amphora 1
RP jug 1
RP BT tulip bowl (sherds) 1
RP ""cult bowl"" with animal heads (sherds) 1
RP spouted bowl (sherds) 1
Incised flask (sherds) 1
Incised ear-lug pot (sherds) 1
Jug (sherds) 1",1,"RP ""cult bowl"" with animal heads (sherds) 1",4,"RP BT tulip bowl 3
RP BT tulip bowl (sherds) 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,16,0,0,0,1,0,0,16,16,0,20,0
Bellapais Vounous A,North,PreBA 1,134,ECI,0,,0,,11,"RP jug 3
RP BT horn lug bowl 2
RP ear lug pot 1
RP BT tulip bowl 1
RP spouted bowl 1
RP BT spouted bowl 1
RP amphora 1
RP basin 1",0,,1,RP BT tulip bowl 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,11,0,0,0,0,0,0,11,11,0,12,0
Bellapais Vounous A,North,PreBA 1,152,ECI,0,,0,,9,"Dromos: 
RP amphora 1
Chamber:
RP BT tulip bowl 1
RP amphora 2
RP bowl 1
RP BT horn lug bowl 3
RP BT ""cult vessel"" with animal heads and projections 1",1,"RP BT ""cult vessel"" with animal heads and projections 1",1,RP BT tulip bowl 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,9,0,0,0,1,0,0,9,9,0,10,0
Bellapais Vounous A,North,PreBA 1,153,ECI,0,,0,,26,"Dromos:
RP ear lug pot 1
Chamber:
RP basin 1
RP milk bowl 1
RP beaker 1
RP jug 4
RP BT pot 1
RP BT tulip bowl 5
RP ear lug pot 3
RP horn lug bowl 1
RP BT horn lug bowl 4
RP juglet 1
RP amphora 1
RP BT flask 1
RP bowl 1",0,,5,RP BT tulip bowl 5,0,,0,,0,,1,Sheep/goat bones,0,,0,,1,BP spindle whorl 1,0,,0,,0,,0,0,,26,0,0,0,0,0,0,27,27,0,32,0
Bellapais Vounous A,North,PreBA 1,154,ECI,0,,0,,34,"RP BT flask 5
RP basin 1
RP jug 7
RP dish 1
RP bowl 1
RP cup 1
RP amphora 2
RP BT bowl 2
RP BT horn lug bowl 3
RPBT tulip bowl 4
RP spouted bowl 1
RP BT spouted bowl 1
RP pot 1
RP ear lug pot 2
RP BT pot 1
RP BT ear lug pot 1",0,,5,"RP cup 1
RPBT tulip bowl 4",2,"Copper based knife 1
Copper alloyed with zinc knife (tested) 1",0,,0,,0,,0,,0,,1,Pierced whetstone 1,1,Reserved slip (Red Slip) dish 1,0,,0,,0,0,,35,1,0,0,0,2,2,37,38,1,40,1
Bellapais Vounous A,North,PreBA 1,155,ECI,0,,0,,19,"RP BT ""cult vessel"" with animal heads and projections 1
RP jug 5
RP BT horn lug bowl 4
RP spouted bowl 2
RP ear lug pot 2
RP amphora 2
RP BT tulip bowl 2
RP dish 1",1,"RP BT ""cult vessel"" with animal heads and projections 1",2,RP BT tulip bowl 2,1,Copper alloyed with zinc knife (tested) 1,0,,0,,0,,0,,0,,1,BP spindle whorl 1,0,,0,,0,,0,0,,19,0,0,0,1,1,1,21,21,0,21,0
Bellapais Vounous A,North,PreBA 1,161,ECI,1,RS spouted bowl 1,0,,43,"RP jug 16
RP jug with animal décor 1
RP amphora 3
RP dish 1
RP BT ear lug pot 1
RP BT horn lug bowl 3
RP BT ""cult vessel"" with animal heads and projections 2
RP BT ""cult vessel"" with animals and false spouts 1
RP BT ""cult vessel"" with false spouts 1
RP BT pot 2
RP BT bowl 1
BP flask 1
BP tulip bowl 1
BP bottle 1
RP BT tulip bowl 7
RP BT goblet 1",5,"RP jug with animal décor 1
RP BT ""cult vessel"" with animal heads and projections 2
RP BT ""cult vessel"" with animals and false spouts 1
RP BT ""cult vessel"" with false spouts 1",11,"RP BT ""cult vessel"" with animals and false spouts 1
RP BT ""cult vessel"" with false spouts 1
BP tulip bowl 1
RP BT tulip bowl 7
RP BT goblet 1",3,"Copper based knife 1
Arsenical copper knife (tested) 1
Arsenical copper dagger (tested) 1",2,"Arsenical copper axe (tested from Trabzon) 1
Arsenical copper axe (tested from Trabzon) 1",0,,1,ox bones,0,,0,,1,Whetstone 1,0,,0,,0,,0,0,,44,0,1,2,5,5,5,47,50,3,56,1
Bellapais Vounous A,North,PreBA 1,163,ECI,1,RP or likely RPm I-II bowl 1,0,,10,"RP BT horn lug bowl 4
RP amphora 2
RP BT flask 2
RP jug 1
RP BT ear lug pot 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,11,0,1,0,0,0,0,10,11,1,11,1
Bellapais Vounous A,North,PreBA 1,081 Total,ECI,0,,0,,23,,1,,1,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,0,,23,0,0,0,1,0,0,24,24,0,24,0
Bellapais Vounous A,North,PreBA 1,082 Total,ECI,1,,0,,35,,0,,3,,1,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,0,,36,0,1,0,0,1,1,36,37,1,40,1
Bellapais Vounous A,North,PreBA 1,085 Chamber A Total,ECI,0,,0,,13,"Dromos:
RP deep bowl 1
RP pot 1
Horn lug bowl 1
RP shallow bowl 1
Chamber A:
RP BT horn lug bowl 1
RP jug 1
RP amphora 2
RP BT jug 1
RP spouted bowl 1
RP BT tulip bowl 1
RP BT ear lug flask 1
BP flask 1",0,,1,RP BT tulip bowl 1,1,Unalloyed? Copper knife (tested) 1,0,,0,,0,,0,,0,,1,Pierced whetstone 1,0,,0,,0,,0,0,,13,0,0,0,0,1,1,15,15,0,14,0
Bellapais Vounous A,North,PreBA 1,087 Total,ECI,0,,0,,26,,3,,5,,2,,1,,0,,1,,0,,0,,2,,1,,0,,0,,0,0,,27,1,0,1,3,3,3,30,32,2,33,1
Bellapais Vounous A,North,PreBA 1,110 Total,ECI,2,,0,,23,,0,,0,,1,,0,,0,,0,,0,,0,,4,,0,,0,,0,,0,0,,25,0,2,0,0,1,1,28,30,2,25,2
Bellapais Vounous A,North,PreBA 1,160 Total,ECI,1,,0,,37,,6,,3,,1,,0,,0,,0,,0,,0,,2,,0,,0,,0,,0,0,,38,0,1,0,6,1,1,40,41,1,41,1
Bellapais Vounous A,North,PreBA 1,164 Total,ECI-II,4,,1,,95,,2,,8,,7,,0,,1,,2,,0,,0,,2,,0,,0,,0,,0,0,,100,0,4,2,2,9,9,104,110,6,110,4
Bellapais Vounous A,North,PreBA 2,99,MCI,0,Burial 2 in tomb reused,0,,2,WPIII amphora 1                                   RP bowl 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,2,0,0,0,0,0,0,2,2,0,2,0
Bellapais Vounous B,North,PreBA 1,121,ECII,0,,0,,46,"RP spouted bowl 2
Coarse spouted bowl 1?
RP basin 2
RP BT bowl 12
RP bowl 2
RP dish 6
RP spouted dish 1
RP BT juglet 1
RP juglet 1
RP BT tulip bowl 2
RP BT horn lug bowl 3
RP cup 1
RP BT jug 1
RP jug 4
RP amphora 4
BP flask 3",2,RP incised brush model 2,3,"RP BT tulip bowl 2
RP cup 1",1,Copper alloyed with zinc knife (tested) 1,1,Tin bronze pin (tested) 1,0,,0,,0,,0,,2,RP incised brush model 2,0,,0,,0,,0,0,,46,0,0,1,2,2,2,49,50,1,49,0
Bellapais Vounous B,North,PreBA 1,123,ECII,1,RP likely RPm I-II bowl 1,0,,10,"RP jug 3
RP BT bowl 3
RP bowl 1
RP BT horn lug bowl 1
RP basin 1
RP BT bowl with vertical projections on rim 1",1,RP BT bowl with vertical projections on rim 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,11,0,1,0,1,0,0,10,11,1,11,1
Bellapais Vounous B,North,PreBA 1,124,ECII,0,,0,,46,"RP jug 4
RP incised juglet 1
RP bowl with stylized bird and projection 1
RP spouted bowl 2
RP amphora 2
RP BT ear lug flask 1
RP BT bowl 21
RP bowl 5
RP juglet 1
RP ""cream jug"" 1
RP BT tulip bowl 2
RP incised tulip bowl 1
RP basin 1
Coarse ware spouted basin 1
RP spouted dish 1
RP dish 1",1,RP bowl with stylized bird and projection 1,3,"RP BT tulip bowl 2
RP incised tulip bowl 1",1,Unalloyed copper knife (tested) 1,0,,0,,1,animal bones maybe sheep/goat,0,,0,,0,,0,,0,,0,,0,0,,46,0,0,0,1,1,1,47,47,0,50,0
Bellapais Vounous B,North,PreBA 1,132,ECII,2,"BrP (or maybe RP) tulip bowl with knob projections on rim 1
ERS jug 1",0,,52,"RP spouted bowl 7
RPBT spouted bowl 3
RPBT bowl 22
RP spouted dish 2
RP jug 2
RPBT horn lug bowl 4
RP dish 4
RPBT flask 1
RP goblet 2
RP bowl 2
RP juglet 1
RPBT juglet 1
RP amphora 1",5,"BrP (or maybe RP) tulip bowl with knob projections on rim 1
RPBT dagger model 1
RP(?) dagger sheath model 1
RP horn model 1
RP dagger model 1",3,"BrP (or maybe RP) tulip bowl with knob projections on rim 1
RP goblet 2",0,,0,,0,,1,Animal bones including ox 1,0,,0,,4,"RPBT dagger model 1
RP(?) dagger sheath model 1
RP horn model 1
RP dagger model 1",0,,0,,0,,0,0,,54,0,2,0,5,0,0,56,58,2,58,2
Bellapais Vounous B,North,PreBA 1,141,ECII,0,,0,,26,"RPBT bowl 8
RP jug 3
RP spouted bowl 2
RP basin 2
RP amphora 3
RP dish 1
RPBT horn lug bowl 3
RP ""cream jug"" 1
RP bowl 2
RP tulip bowl 1",0,,1,RP tulip bowl 1,0,,0,,0,,0,,0,,0,,1,Spindle whorl (BP?) 1,0,,0,,0,,0,0,,26,0,0,0,0,0,0,27,27,0,27,0
Bellapais Vounous B,North,PreBA 1,142,ECII,1,BP flask 1,0,,16,"RPBT bowl 4
RP spouted bowl 4
RP bowl 2
RP jug 2
RP ear lug pot 1
RP basin 1
RP amphora 1
RPBT horn lug bowl 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,17,0,1,0,0,0,0,16,17,1,17,1
Bellapais Vounous B,North,PreBA 1,145,ECII,0,,0,,10,"RP jug 2
RPBT horn lug bowl 3
RP bowl 2
RP amphora 1
RP basin 1
RP juglet 1",1,RPBT dagger/sheath model 1,0,,0,,0,,0,,0,,0,,0,,1,RPBT dagger/sheath model 1,0,,0,,0,,0,0,,10,0,0,0,1,0,0,11,11,0,10,0
Bellapais Vounous B,North,PreBA 1,151,ECII,0,,0,,28,"RPBT bowl 10
RP bowl 2
RP platter 2
RP jug 3
RPBT horn lug bowl 1
RPBT spouted bowl 1
RP dish 1
RP spouted platter 1
RP spouted bowl 3
RP basin 2
RPBT goblet 1
RP goblet 1",0,,2,"RPBT goblet 1
RP goblet 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,28,0,0,0,0,0,0,28,28,0,30,0
Bellapais Vounous B,North,PreBA 1,156,ECII,1,RP spouted bowl from center or south (arcane) 1,0,,28,"RP flask 1
RP amphora 1
RPBT bowl 8
RPBT horn lug bowl 5
RP spouted bowl 3
RP horn lug bowl 1
RP basin 1
RP jug 1
RPBT tulip bowl 1
Sherds:
RPBT bowl 1
RP jug 4
RP spouted bowl 1",0,,1,RPBT tulip bowl 1,1,Unalloyed copper dagger (tested) 1,0,,0,,1,Animal bones including ox,0,,0,,0,,0,,0,,0,,0,0,,29,0,1,0,0,1,1,29,30,1,31,1
Bellapais Vounous B,North,PreBA 2,122,ECIII,0,,0,,21,"RP amphora 1
RP BT bowl 9
RP bowl or dish 1
RP jug 1
RP dish 2
RP BT flask 1
RPBT spouted bowl 2
RP spouted bowl 1
RP lg bowl 1
RP juglet 1
RP small jug 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,21,0,0,0,0,0,0,21,21,0,21,0
Bellapais Vounous B,North,PreBA 2,125,ECIII,0,,0,,42,"RP amphora 2
RP BT bowl 20
RP incised bowl 1
RP jug 7
RP bowl 4
RP spouted bowl 8",0,,0,,0,,0,,0,,1,animal bone,0,,0,,0,,0,,0,,0,,0,0,,42,0,0,0,0,0,0,42,42,0,43,0
Bellapais Vounous B,North,PreBA 2,129,ECIII,0,,0,,25,"RP jug 3
RP incised juglet 3
RP BT flask 1
RP BT bowl 8
RP bowl 1
RP spouted bowl 6
RP small amphora? 1
RP basin 2",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,25,0,0,0,0,0,0,25,25,0,25,0
Bellapais Vounous B,North,PreBA 2,130,ECIII-MCI,1,BrP juglet with askoid body? 1,0,,27,"RP jug 4
RP BT bowl 7
RP bowl 1
RP incised juglet 7
RP incised juglet with plank idol incised 1
RP juglet 2
RP incised flask 1
RP spouted bowl 3
RP amphora 1",1,RP incised juglet with plank idol incised 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,28,0,1,0,1,0,0,27,28,1,28,1
Bellapais Vounous B,North,PreBA 2,137,ECIIIB,0,,0,,75,"RP funnel 1
RPBT bowl 31
RP pot (flask) 2
RP dish 3
RP bowl 4
RP jug 11
RPBT flask 2
RP spouted bowl 9
RP basin 2
RP amphora 3
RPBT spouted bowl 2
RP juglet 3
Basin 1
WP spouted bowl 1",0,,1,RP funnel 1,1,Copper alloyed with zinc dagger (tested) 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,75,0,0,0,0,1,1,76,76,0,76,0
Bellapais Vounous B,North,PreBA 2,139,ECIIIB,0,Number of amphora may be significant,0,,60,"RP jug 10
RP juglet 6
RP amphora 9
RP bowl 10
RP spouted bowl 2
RPBT bowl 17
RP pot (flask) 2
RPBT spouted bowl 2
RP dipper 1
RP goblet 1",0,,1,RP goblet 1,0,,0,,0,,1,Animal bones including oxen,0,,0,,0,,0,,0,,0,,0,0,,60,0,0,0,0,0,0,60,60,0,62,0
Bellapais Vounous B,North,PreBA 2,143,"ECIII, MCI",4,"BP bowl 2
BP flask 2",0,,128,"RPBT bowl 50
RP amphora 13
RP jug 20
RP spouted bowl 6
RP spouted dish 1
RPBT spouted bowl 1
RP bowl 11
RP juglet 8
RP basin 3
RPBT flask 1
RP spouted basin 1
RP cup 2
RPBT goblet 1
RP incised composite vessel with 4 connected bowls 2
WP bowl 1
Sherds:
RP jug 2
RP juglet 1
RP spouted bowl 1
RPBT spouted bowl 1
RP bowl 1
RP basin 1",0,,5,"RP cup 2
RPBT goblet 1
RP incised composite vessel with 4 connected bowls 2",10,"Copper dagger (tested, Cypriot) 1
Copper based pin 1
Arsenical copper pin (tested) 2
Copper based knife 2
Arsenical copper knife (tested) 1
Copper based scraper/razor 1
Copper based pin with wire 1
Copper based needle 1",0,Tin bronze dagger (tested) 1,0,,0,,0,,0,,2,"Stone axe amulet 1
Stone tablet 1",0,,0,,0,,0,0,,132,0,4,0,0,10,10,140,144,4,137,4
